timestamp,load1,load5,load15,mem_available_kib,swap_free_kib,validation_process_count,validation_tree_rss_mib,docker_running_count
2026-09-17T12:32:27.094989+00:00,3.85,4.97,4.85,62046255,0,3,22.45,2
2026-09-17T12:32:32.982253+00:00,7.47,5.70,5.09,60478892,0,142,3033.47,2
2026-09-17T12:32:38.932551+00:00,8.87,6.03,5.19,61260249,0,41,1205.07,2
2026-09-17T12:32:44.042710+00:00,9.92,6.29,5.29,61388408,0,31,913.11,2
2026-09-17T12:32:49.184103+00:00,10.01,6.37,5.32,61569755,0,33,783.88,2
2026-09-17T12:32:54.348435+00:00,10.41,6.51,5.37,61588334,0,39,800.47,2
2026-09-17T12:32:59.475354+00:00,10.54,6.60,5.40,61757991,0,34,713.79,2
2026-09-17T12:33:04.645832+00:00,10.49,6.66,5.43,61765849,0,11,306.67,2
2026-09-17T12:33:09.742231+00:00,10.77,6.78,5.47,61827188,0,15,366.28,2
2026-09-17T12:33:14.852543+00:00,10.95,6.89,5.52,61794715,0,15,479.73,2
2026-09-17T12:33:20.046806+00:00,10.40,6.84,5.51,61798921,0,15,377.50,2
2026-09-17T12:33:25.151219+00:00,10.12,6.84,5.52,61651774,0,24,573.51,2
2026-09-17T12:33:30.290409+00:00,9.63,6.79,5.51,61813693,0,16,424.36,2
2026-09-17T12:33:35.445075+00:00,9.42,6.80,5.52,61632693,0,16,413.58,2
2026-09-17T12:33:40.657706+00:00,8.91,6.73,5.50,61624747,0,23,666.92,2
2026-09-17T12:33:45.883610+00:00,8.75,6.74,5.51,61655843,0,11,601.00,2
2026-09-17T12:33:51.050467+00:00,7.95,6.63,5.49,61430354,0,13,826.15,2
2026-09-17T12:33:56.134969+00:00,7.55,6.57,5.47,61842329,0,10,304.06,2
2026-09-17T12:34:01.249688+00:00,7.67,6.61,5.49,61854599,0,14,310.91,2
2026-09-17T12:34:06.415535+00:00,7.62,6.62,5.50,61710929,0,12,264.44,2
2026-09-17T12:34:11.613388+00:00,7.33,6.57,5.49,61764117,0,13,319.04,2
2026-09-17T12:34:16.794061+00:00,7.06,6.53,5.49,61836808,0,10,291.58,2
2026-09-17T12:34:21.988286+00:00,6.73,6.47,5.47,61816013,0,16,365.36,2
2026-09-17T12:34:27.199857+00:00,6.43,6.41,5.46,61927139,0,13,305.48,2
2026-09-17T12:34:32.300912+00:00,6.24,6.37,5.45,61869139,0,20,464.21,2
2026-09-17T12:34:37.504020+00:00,6.06,6.33,5.44,61919467,0,17,432.72,2
2026-09-17T12:34:42.711121+00:00,6.05,6.33,5.45,61705981,0,16,396.00,2
2026-09-17T12:34:47.916332+00:00,5.89,6.29,5.44,61848065,0,12,321.41,2
2026-09-17T12:34:53.135524+00:00,5.74,6.25,5.43,61788353,0,13,385.84,2
2026-09-17T12:34:58.283217+00:00,5.68,6.23,5.43,61817617,0,15,371.16,2
2026-09-17T12:35:03.373966+00:00,6.19,6.33,5.46,61820466,0,15,321.81,2
2026-09-17T12:35:08.615188+00:00,5.93,6.27,5.45,61825613,0,16,412.00,2
2026-09-17T12:35:13.795471+00:00,5.94,6.27,5.45,61910135,0,16,412.31,2
2026-09-17T12:35:18.984200+00:00,5.78,6.23,5.44,61795690,0,19,444.93,2
2026-09-17T12:35:24.186954+00:00,5.72,6.21,5.44,61814779,0,19,428.71,2
2026-09-17T12:35:29.347100+00:00,5.82,6.22,5.45,61804783,0,15,344.45,2
2026-09-17T12:35:34.508918+00:00,5.59,6.17,5.44,61820236,0,16,422.62,2
2026-09-17T12:35:39.717009+00:00,5.31,6.10,5.42,61748875,0,27,579.73,2
2026-09-17T12:35:44.891362+00:00,5.60,6.15,5.44,61838281,0,15,366.50,2
2026-09-17T12:35:50.004264+00:00,5.39,6.09,5.43,61620045,0,12,345.32,2
2026-09-17T12:35:55.151399+00:00,5.84,6.18,5.46,61808749,0,15,373.38,2
2026-09-17T12:36:00.378930+00:00,5.94,6.19,5.46,61908324,0,15,375.44,2
2026-09-17T12:36:05.590080+00:00,6.26,6.25,5.49,61931282,0,12,302.59,2
